method,display_name,index,input,reference,prediction,is_exact,primary_error,all_error_labels,ascii_alpha,angle_or_tag,unk_token,prompt_artifact,truncation,over_expansion,suffix_drop,number_mismatch
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,1,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,佛説聖大乘三皈依經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,2,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,百千印心經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,3,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,第十三悔罪頌,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,4,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,佛説人道長經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,5,𗦬𘍞𗵘𘐡,共丸道次,共同道序经,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,6,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,圣解女性王祈求總持經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,7,𗏁𗴮𗖰𗚩,五部經,五種陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,8,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,至僧皈依法則,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,9,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,七寶花踏佛陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,10,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,隐藏变化锁记,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,11,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,禅定勝法經,0,truncation,"[""truncation"", ""suffix_drop""]",0,0,0,0,1,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,12,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,三代彼此文集,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,13,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,凤凰说理经,0,truncation,"[""truncation"", ""suffix_drop""]",0,0,0,0,1,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,14,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,根本說一切如經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,15,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,菩提薩埵大般若波羅蜜多經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,16,𗏇𘉅,雜字,杂字,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,17,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,深广二七支法事,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,18,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,菩萨藝两辈纲紀經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,19,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,佛説遮蓋減除菩薩問經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,20,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,德應滴 Gyen 词句 显宣 ɪꜰʀ 经,0,contamination,"[""contamination"", ""over_expansion"", ""suffix_drop""]",1,0,0,0,0,1,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,21,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,野利般若波羅蜜多集颂,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,22,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,金刚亥母净瓶陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,23,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,集聚轮转供养法則次序经,0,over_expansion,"[""over_expansion""]",0,0,0,0,0,1,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,24,𗵒𗒛𘁨,金乘序,金乘序,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,25,𗩾𗨁𗉣𗖰𗚩,最上意經,最上意謀經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,26,𗢳𘎪𘗽𘍭𗆄𗢳𘝯𗖰𗚩𗼫𗿧𘋓,佛説智(?)□□佛觀經□註,佛説壽量品 medicinal注疏,0,contamination,"[""contamination"", ""suffix_drop""]",1,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,27,𗼑𗼑𗫉𗊱,月月樂詩,月月乐诗,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,28,𗠁𘟛𗳌𘋟𗫡𘄴𗑾𘘝𗫦𗌮𗙼𗥤𗵽𘆡𘓆𗏴𗖍,勝慧彼岸到要論教學現量解莊嚴論顯頌,胜慧彼岸至治热病法要门论,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,29,𗢭𗵫𗴿𗒀𗺉,九曜供養根,九曜供养經,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,30,𗰗𘈩𘅞𗾈𗥺𗤶𗖰𗚩,十一面神咒心經,二十一面賢咒心經,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,31,𗙏𘙰,同音,同音集,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,32,𗍥𘟙𗉃𘔅𗤶𗅁𗧯𗦇,金剛王燈炬心中所持可,金刚心陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,33,𗒹𗢳𘎪𗾈𗥺𗖰𗚩,七佛説神咒經,佛説七賢咒經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
local_qwen_frontier_style_fewshot_beam,local_qwen_frontier_style_fewshot_beam,34,𗆧𗰖𗵒𗭭𘃎𘐏𘝞,新集碎金置掌文,新集掌上碎金,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
