index,subset,input,reference,prediction_a,prediction_b,same_prediction,exact_a,exact_b,sentence_chrf_a,sentence_chrf_b,chrf_winner,judge_overall_a,judge_overall_b,judge_winner
0,disagree_title_suffix,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,佛説聖大乘三歸依經,佛説聖大乘三生歸順經,False,True,False,100.0,44.8874,frontier_deepseek_v32_fewshot_cot,5,2,frontier_deepseek_v32_fewshot_cot
1,disagree_title_suffix,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,百千印陀羅尼經,千千印文洛下渡經,False,True,False,100.0,8.2567,frontier_deepseek_v32_fewshot_cot,5,1,frontier_deepseek_v32_fewshot_cot
2,disagree_title_suffix,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,第十三懺罪頌,三種罪懺根,False,False,False,25.9729,10.0,frontier_deepseek_v32_fewshot_cot,1,2,final_gap04_multitask_sigmoid
3,disagree_no_title_suffix,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,人佛作道長經,文佛使護道長,False,False,False,15.2381,10.0,frontier_deepseek_v32_fewshot_cot,2,2,tie
4,disagree_no_title_suffix,𗦬𘍞𗵘𘐡,共丸道次,俱通次第論,重念道次,False,False,False,4.7619,16.6667,final_gap04_multitask_sigmoid,2,2,tie
5,disagree_title_suffix,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,聖大解女王求皆得經,聖大般若女王求隨集了經,False,False,False,18.5293,14.8041,frontier_deepseek_v32_fewshot_cot,2,1,frontier_deepseek_v32_fewshot_cot
6,disagree_title_suffix,𗏁𗴮𗖰𗚩,五部經,五類經,五部經典,False,False,False,16.6667,67.3828,final_gap04_multitask_sigmoid,2,4,final_gap04_multitask_sigmoid
7,disagree_no_title_suffix,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,此處僧至皈依儀,nàyQuiet 至僧人隨自順則,False,False,False,3.3223,4.2017,final_gap04_multitask_sigmoid,1,1,tie
8,disagree_title_suffix,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,七寶花踏佛陀羅尼經,七寶華鬘佛頂大羅總經,False,False,False,48.0045,14.7855,frontier_deepseek_v32_fewshot_cot,4,2,frontier_deepseek_v32_fewshot_cot
9,disagree_no_title_suffix,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,藏伏庫變鎖經,伏法變 '|' 解縛,False,False,False,7.1429,6.6964,frontier_deepseek_v32_fewshot_cot,2,1,frontier_deepseek_v32_fewshot_cot
