method,display_name,index,input,reference,prediction,is_exact,primary_error,all_error_labels,ascii_alpha,angle_or_tag,unk_token,prompt_artifact,truncation,over_expansion,suffix_drop,number_mismatch
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,1,𗢳𘎪𗼃𘜶𗒛𘕕𗖵𗨳𗖰𗚩,佛説聖大乘三歸依經,佛説聖大乘三歸依經,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,2,𘊝𗡞𘟩𗁬𗓽𘆵𗖰𗚩,百千印陀羅尼經,百千印陀羅尼經,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,3,𘕕𗡪𘕋𗍓𗖍,三個懺罪頌,第十三懺罪頌,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,4,𘓐𗢳𗨻𗰲𗵘𘞵,人佛為自道長,人佛作道長經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,5,𗦬𘍞𗵘𘐡,共丸道次,俱通次第論,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,6,𗼃𘜶𗥤𗶈𘟙𗴿𗖵𗄊𘜘𗖰𗚩,聖大悟蔭王求隨皆得經,聖大解女王求皆得經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,7,𗏁𗴮𗖰𗚩,五部經,五類經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,8,𘌽𘕿𘙌𗫡𗗆𘋩𗖵𗨳𗡶,此於已到僧於隨歸順,此處僧至皈依儀,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,9,𗒹𘏨𗤻𗭔𗢳𗁬𗓽𘆵𗖰𗚩,七寶華踏佛陀羅尼經,七寶花踏佛陀羅尼經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,10,𗬀𗔇𘂫𘅜𘏒𘖜,伏藏變化解鍵,藏伏庫變鎖經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,11,𘝳𗥔𗇋𗖵𗠁𗫻𗟻𗡶𘄴𗑾,默有者隨勝住令順要論,禪定安住勝法要門,0,suffix_drop,"[""suffix_drop""]",0,0,0,0,0,0,1,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,12,𘕕𗤀𘎆𗮔𗟲𗰖𘝞,三世屬明言集文,三代照言集文,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,13,𘈼𗪘𗦎𘍞𗮅𗧘𗅋𘙰𘟀𗡶𘜶𗿻𘜾𘙇𘎪□𘄎,如上流凡多義不同見順大鳳凰□□説□清,先流多義無同觀法大鳳凰説清經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,14,𗰜𗺉𗄑𗄑𘟣𘎪𗴮𘂯𗷌𗡝,根本一切有説部目得迦,根本一切説類目逃迦經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,15,𘏞𘛛𗹡𗹬𘜶𗹡𗹬𘖑𗆄𘋢𗥤𗫔𗗙𗖵𗨳𗍺𘐔,菩提勇識大勇識不價菩薩衆之歸依禮拜,菩提勇猛大勇猛無量菩薩眾歸依敬禮,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,16,𗏇𘉅,雜字,雜字,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,17,𗓰𗾟𘂚𘃽𗒹𗛆𗹙𘅫,深廣雙入七枝法事,深廣二入七支法事,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,18,𘋢𗥤𘝦𗗙𗍫𗑝𗆔,菩薩業之二節綱,菩薩藝行兩輩綱紀,0,number_mismatch,"[""number_mismatch""]",0,0,0,0,0,0,0,1
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,19,𗢳𘎪𘈟𗐜𗟥𘋢𗥤𗞞𗤄𗖰𗚩,佛説障蓋除菩薩問經,佛説遮減菩薩問經,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,20,𗣼𗟭𘞫𗗙𗣃𗧘𗏴𗭪,正理滴之句義顯具,德宜點義句顯宣論,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,21,𗰖𗖍𘄒𘎑𘏞𗓽𗕥𗸰𗖰𗚩,集頌般若波羅蜜多經,集頌般若波羅蜜多經,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,22,𗍥𘟙𗘅𗴺𗖵𗑗𘛧𗳒𗹝𘆖𘃡𗡶,金剛王亥母隨淨瓶以親誦作順,金剛亥母淨瓶親近行儀,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,23,𗄭𘚢𗴿𗒀𘃡𗡶𘐡,聚輪供養作次第,集輪供養儀次,0,content_drift,"[""content_drift""]",0,0,0,0,0,0,0,0
frontier_deepseek_v32_fewshot_cot,Frontier DeepSeek,24,𗵒𗒛𘁨,金乘序,金乘序,1,exact,"[""exact""]",0,0,0,0,0,0,0,0
